"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
location_contact_other_d2_rep_4,contact_day_2_repeat,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_rep_4(12)]=""1""",y,,,,,
contact_mask_d2_rep_4,contact_day_2_repeat,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[repeat_contact_d2_rep_4]=""1""",y,,,,,
duration_contact_d2_rep_4,contact_day_2_repeat,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[repeat_contact_d2_rep_4]=""1""",y,,,,,
frequency_contact_d2_rep_4,contact_day_2_repeat,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[repeat_contact_d2_rep_4]=""1""",y,,,,,
known_contact_d2_rep_4,contact_day_2_repeat,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[repeat_contact_d2_rep_4]=""1""",y,,,,,
repeat_contact_d2_rep_5,contact_day_2_repeat,,radio,"Did you have contact with [day_1_diary_arm_1][contact_id_d1][5] on the first day of contact diary?","0, No | 1, Yes | 2, I don't remember",,,,,,"([day_1_diary_arm_1][num_contact_nonhh_aim1_d1] >= 5) OR ([day_1_diary_arm_1][num_contact_aim2_d1] >= 5)",y,,,,,
touch_contact_d2_rep_5,contact_day_2_repeat,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[repeat_contact_d2_rep_5]=""1""",y,,,,,
where_contact_d2_rep_5,contact_day_2_repeat,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[repeat_contact_d2_rep_5]=""1""",y,,,,,
location_contact_d2_rep_5,contact_day_2_repeat,,checkbox,"Where did you have the contact? Select all possible answers.","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[repeat_contact_d2_rep_5]=""1""",y,,,,,
location_contact_other_d2_rep_5,contact_day_2_repeat,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_rep_5(12)]=""1""",y,,,,,
contact_mask_d2_rep_5,contact_day_2_repeat,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[repeat_contact_d2_rep_5]=""1""",y,,,,,
duration_contact_d2_rep_5,contact_day_2_repeat,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[repeat_contact_d2_rep_5]=""1""",y,,,,,
frequency_contact_d2_rep_5,contact_day_2_repeat,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[repeat_contact_d2_rep_5]=""1""",y,,,,,
known_contact_d2_rep_5,contact_day_2_repeat,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[repeat_contact_d2_rep_5]=""1""",y,,,,,
repeat_contact_d2_rep_6,contact_day_2_repeat,,radio,"Did you have contact with [day_1_diary_arm_1][contact_id_d1][6] on the first day of contact diary?","0, No | 1, Yes | 2, I don't remember",,,,,,"([day_1_diary_arm_1][num_contact_nonhh_aim1_d1] >= 6) OR ([day_1_diary_arm_1][num_contact_aim2_d1] >= 6)",y,,,,,
touch_contact_d2_rep_6,contact_day_2_repeat,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[repeat_contact_d2_rep_6]=""1""",y,,,,,
where_contact_d2_rep_6,contact_day_2_repeat,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[repeat_contact_d2_rep_6]=""1""",y,,,,,
location_contact_d2_rep_6,contact_day_2_repeat,,checkbox,"Where did you have the contact? Select all possible answers.","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[repeat_contact_d2_rep_6]=""1""",y,,,,,
location_contact_other_d2_rep_6,contact_day_2_repeat,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_rep_6(12)]=""1""",y,,,,,
contact_mask_d2_rep_6,contact_day_2_repeat,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[repeat_contact_d2_rep_6]=""1""",y,,,,,
duration_contact_d2_rep_6,contact_day_2_repeat,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[repeat_contact_d2_rep_6]=""1""",y,,,,,
frequency_contact_d2_rep_6,contact_day_2_repeat,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[repeat_contact_d2_rep_6]=""1""",y,,,,,
known_contact_d2_rep_6,contact_day_2_repeat,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[repeat_contact_d2_rep_6]=""1""",y,,,,,
repeat_contact_d2_rep_7,contact_day_2_repeat,,radio,"Did you have contact with [day_1_diary_arm_1][contact_id_d1][7] on the first day of contact diary?","0, No | 1, Yes | 2, I don't remember",,,,,,"([day_1_diary_arm_1][num_contact_nonhh_aim1_d1] >= 7) OR ([day_1_diary_arm_1][num_contact_aim2_d1] >= 7)",y,,,,,
touch_contact_d2_rep_7,contact_day_2_repeat,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[repeat_contact_d2_rep_7]=""1""",y,,,,,
where_contact_d2_rep_7,contact_day_2_repeat,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[repeat_contact_d2_rep_7]=""1""",y,,,,,
location_contact_d2_rep_7,contact_day_2_repeat,,checkbox,"Where did you have the contact? Select all possible answers.","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[repeat_contact_d2_rep_7]=""1""",y,,,,,
location_contact_other_d2_rep_7,contact_day_2_repeat,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_rep_7(12)]=""1""",y,,,,,
contact_mask_d2_rep_7,contact_day_2_repeat,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[repeat_contact_d2_rep_7]=""1""",y,,,,,
duration_contact_d2_rep_7,contact_day_2_repeat,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[repeat_contact_d2_rep_7]=""1""",y,,,,,
frequency_contact_d2_rep_7,contact_day_2_repeat,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[repeat_contact_d2_rep_7]=""1""",y,,,,,
known_contact_d2_rep_7,contact_day_2_repeat,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[repeat_contact_d2_rep_7]=""1""",y,,,,,
repeat_contact_d2_rep_8,contact_day_2_repeat,,radio,"Did you have contact with [day_1_diary_arm_1][contact_id_d1][8] on the first day of contact diary?","0, No | 1, Yes | 2, I don't remember",,,,,,"([day_1_diary_arm_1][num_contact_nonhh_aim1_d1] >= 8) OR ([day_1_diary_arm_1][num_contact_aim2_d1] >= 8)",y,,,,,
touch_contact_d2_rep_8,contact_day_2_repeat,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[repeat_contact_d2_rep_8]=""1""",y,,,,,
where_contact_d2_rep_8,contact_day_2_repeat,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[repeat_contact_d2_rep_8]=""1""",y,,,,,
location_contact_d2_rep_8,contact_day_2_repeat,,checkbox,"Where did you have the contact? Select all possible answers.","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[repeat_contact_d2_rep_8]=""1""",y,,,,,
location_contact_other_d2_rep_8,contact_day_2_repeat,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_rep_8(12)]=""1""",y,,,,,
contact_mask_d2_rep_8,contact_day_2_repeat,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[repeat_contact_d2_rep_8]=""1""",y,,,,,
duration_contact_d2_rep_8,contact_day_2_repeat,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[repeat_contact_d2_rep_8]=""1""",y,,,,,
frequency_contact_d2_rep_8,contact_day_2_repeat,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[repeat_contact_d2_rep_8]=""1""",y,,,,,
known_contact_d2_rep_8,contact_day_2_repeat,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[repeat_contact_d2_rep_8]=""1""",y,,,,,
repeat_contact_d2_rep_9,contact_day_2_repeat,,radio,"Did you have contact with [day_1_diary_arm_1][contact_id_d1][9] on the first day of contact diary?","0, No | 1, Yes | 2, I don't remember",,,,,,"([day_1_diary_arm_1][num_contact_nonhh_aim1_d1] >= 9) OR ([day_1_diary_arm_1][num_contact_aim2_d1] >= 9)",y,,,,,
touch_contact_d2_rep_9,contact_day_2_repeat,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[repeat_contact_d2_rep_9]=""1""",y,,,,,
where_contact_d2_rep_9,contact_day_2_repeat,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[repeat_contact_d2_rep_9]=""1""",y,,,,,
location_contact_d2_rep_9,contact_day_2_repeat,,checkbox,"Where did you have the contact? Select all possible answers.","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[repeat_contact_d2_rep_9]=""1""",y,,,,,
location_contact_other_d2_rep_9,contact_day_2_repeat,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_rep_9(12)]=""1""",y,,,,,
contact_mask_d2_rep_9,contact_day_2_repeat,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[repeat_contact_d2_rep_9]=""1""",y,,,,,
duration_contact_d2_rep_9,contact_day_2_repeat,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[repeat_contact_d2_rep_9]=""1""",y,,,,,
frequency_contact_d2_rep_9,contact_day_2_repeat,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[repeat_contact_d2_rep_9]=""1""",y,,,,,
known_contact_d2_rep_9,contact_day_2_repeat,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[repeat_contact_d2_rep_9]=""1""",y,,,,,
repeat_contact_d2_rep_10,contact_day_2_repeat,,radio,"Did you have contact with [day_1_diary_arm_1][contact_id_d1][10] on the first day of contact diary?","0, No | 1, Yes | 2, I don't remember",,,,,,"([day_1_diary_arm_1][num_contact_nonhh_aim1_d1] >= 10) OR ([day_1_diary_arm_1][num_contact_aim2_d1] >= 10)",y,,,,,
touch_contact_d2_rep_10,contact_day_2_repeat,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[repeat_contact_d2_rep_10]=""1""",y,,,,,
where_contact_d2_rep_10,contact_day_2_repeat,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[repeat_contact_d2_rep_10]=""1""",y,,,,,
location_contact_d2_rep_10,contact_day_2_repeat,,checkbox,"Where did you have the contact? Select all possible answers.","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[repeat_contact_d2_rep_10]=""1""",y,,,,,
location_contact_other_d2_rep_10,contact_day_2_repeat,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_rep_10(12)]=""1""",y,,,,,
contact_mask_d2_rep_10,contact_day_2_repeat,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[repeat_contact_d2_rep_10]=""1""",y,,,,,
duration_contact_d2_rep_10,contact_day_2_repeat,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[repeat_contact_d2_rep_10]=""1""",y,,,,,
frequency_contact_d2_rep_10,contact_day_2_repeat,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[repeat_contact_d2_rep_10]=""1""",y,,,,,
known_contact_d2_rep_10,contact_day_2_repeat,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[repeat_contact_d2_rep_10]=""1""",y,,,,,
repeat_contact_d2_rep_11,contact_day_2_repeat,,radio,"Did you have contact with [day_1_diary_arm_1][contact_id_d1][11] on the first day of contact diary?","0, No | 1, Yes | 2, I don't remember",,,,,,"([day_1_diary_arm_1][num_contact_nonhh_aim1_d1] >= 11) OR ([day_1_diary_arm_1][num_contact_aim2_d1] >= 11)",y,,,,,
touch_contact_d2_rep_11,contact_day_2_repeat,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[repeat_contact_d2_rep_11]=""1""",y,,,,,
where_contact_d2_rep_11,contact_day_2_repeat,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[repeat_contact_d2_rep_11]=""1""",y,,,,,
location_contact_d2_rep_11,contact_day_2_repeat,,checkbox,"Where did you have the contact? Select all possible answers.","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[repeat_contact_d2_rep_11]=""1""",y,,,,,
location_contact_other_d2_rep_11,contact_day_2_repeat,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_rep_11(12)]=""1""",y,,,,,
contact_mask_d2_rep_11,contact_day_2_repeat,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[repeat_contact_d2_rep_11]=""1""",y,,,,,
duration_contact_d2_rep_11,contact_day_2_repeat,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[repeat_contact_d2_rep_11]=""1""",y,,,,,
frequency_contact_d2_rep_11,contact_day_2_repeat,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[repeat_contact_d2_rep_11]=""1""",y,,,,,
known_contact_d2_rep_11,contact_day_2_repeat,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[repeat_contact_d2_rep_11]=""1""",y,,,,,
repeat_contact_d2_rep_12,contact_day_2_repeat,,radio,"Did you have contact with [day_1_diary_arm_1][contact_id_d1][12] on the first day of contact diary?","0, No | 1, Yes | 2, I don't remember",,,,,,"([day_1_diary_arm_1][num_contact_nonhh_aim1_d1] >= 12) OR ([day_1_diary_arm_1][num_contact_aim2_d1] >= 12)",y,,,,,
touch_contact_d2_rep_12,contact_day_2_repeat,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[repeat_contact_d2_rep_12]=""1""",y,,,,,
where_contact_d2_rep_12,contact_day_2_repeat,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[repeat_contact_d2_rep_12]=""1""",y,,,,,
location_contact_d2_rep_12,contact_day_2_repeat,,checkbox,"Where did you have the contact? Select all possible answers.","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[repeat_contact_d2_rep_12]=""1""",y,,,,,
location_contact_other_d2_rep_12,contact_day_2_repeat,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_rep_12(12)]=""1""",y,,,,,
contact_mask_d2_rep_12,contact_day_2_repeat,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[repeat_contact_d2_rep_12]=""1""",y,,,,,
duration_contact_d2_rep_12,contact_day_2_repeat,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[repeat_contact_d2_rep_12]=""1""",y,,,,,
frequency_contact_d2_rep_12,contact_day_2_repeat,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[repeat_contact_d2_rep_12]=""1""",y,,,,,
known_contact_d2_rep_12,contact_day_2_repeat,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[repeat_contact_d2_rep_12]=""1""",y,,,,,
repeat_contact_d2_rep_13,contact_day_2_repeat,,radio,"Did you have contact with [day_1_diary_arm_1][contact_id_d1][13] on the first day of contact diary?","0, No | 1, Yes | 2, I don't remember",,,,,,"([day_1_diary_arm_1][num_contact_nonhh_aim1_d1] >= 13) OR ([day_1_diary_arm_1][num_contact_aim2_d1] >= 13)",y,,,,,
touch_contact_d2_rep_13,contact_day_2_repeat,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[repeat_contact_d2_rep_13]=""1""",y,,,,,
where_contact_d2_rep_13,contact_day_2_repeat,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[repeat_contact_d2_rep_13]=""1""",y,,,,,
location_contact_d2_rep_13,contact_day_2_repeat,,checkbox,"Where did you have the contact? Select all possible answers.","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[repeat_contact_d2_rep_13]=""1""",y,,,,,
location_contact_other_d2_rep_13,contact_day_2_repeat,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_rep_13(12)]=""1""",y,,,,,
contact_mask_d2_rep_13,contact_day_2_repeat,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[repeat_contact_d2_rep_13]=""1""",y,,,,,
duration_contact_d2_rep_13,contact_day_2_repeat,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[repeat_contact_d2_rep_13]=""1""",y,,,,,
frequency_contact_d2_rep_13,contact_day_2_repeat,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[repeat_contact_d2_rep_13]=""1""",y,,,,,
known_contact_d2_rep_13,contact_day_2_repeat,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[repeat_contact_d2_rep_13]=""1""",y,,,,,
repeat_contact_d2_rep_14,contact_day_2_repeat,,radio,"Did you have contact with [day_1_diary_arm_1][contact_id_d1][14] on the first day of contact diary?","0, No | 1, Yes | 2, I don't remember",,,,,,"([day_1_diary_arm_1][num_contact_nonhh_aim1_d1] >= 14) OR ([day_1_diary_arm_1][num_contact_aim2_d1] >= 14)",y,,,,,
touch_contact_d2_rep_14,contact_day_2_repeat,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[repeat_contact_d2_rep_14]=""1""",y,,,,,
where_contact_d2_rep_14,contact_day_2_repeat,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[repeat_contact_d2_rep_14]=""1""",y,,,,,
location_contact_d2_rep_14,contact_day_2_repeat,,checkbox,"Where did you have the contact? Select all possible answers.","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[repeat_contact_d2_rep_14]=""1""",y,,,,,
location_contact_other_d2_rep_14,contact_day_2_repeat,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_rep_14(12)]=""1""",y,,,,,
contact_mask_d2_rep_14,contact_day_2_repeat,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,,y,,,,,
duration_contact_d2_rep_14,contact_day_2_repeat,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[repeat_contact_d2_rep_14]=""1""",y,,,,,
frequency_contact_d2_rep_14,contact_day_2_repeat,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[repeat_contact_d2_rep_14]=""1""",y,,,,,
known_contact_d2_rep_14,contact_day_2_repeat,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[repeat_contact_d2_rep_14]=""1""",y,,,,,
repeat_contact_d2_rep_15,contact_day_2_repeat,,radio,"Did you have contact with [day_1_diary_arm_1][contact_id_d1][15] on the first day of contact diary?","0, No | 1, Yes | 2, I don't remember",,,,,,"([day_1_diary_arm_1][num_contact_nonhh_aim1_d1] >= 15) OR ([day_1_diary_arm_1][num_contact_aim2_d1] >= 15)",y,,,,,
touch_contact_d2_rep_15,contact_day_2_repeat,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[repeat_contact_d2_rep_15]=""1""",y,,,,,
where_contact_d2_rep_15,contact_day_2_repeat,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[repeat_contact_d2_rep_15]=""1""",y,,,,,
location_contact_d2_rep_15,contact_day_2_repeat,,checkbox,"Where did you have the contact? Select all possible answers.","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[repeat_contact_d2_rep_15]=""1""",y,,,,,
location_contact_other_d2_rep_15,contact_day_2_repeat,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_rep_15(12)]=""1""",y,,,,,
contact_mask_d2_rep_15,contact_day_2_repeat,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[repeat_contact_d2_rep_15]=""1""",y,,,,,
duration_contact_d2_rep_15,contact_day_2_repeat,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[repeat_contact_d2_rep_15]=""1""",y,,,,,
frequency_contact_d2_rep_15,contact_day_2_repeat,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[repeat_contact_d2_rep_15]=""1""",y,,,,,
known_contact_d2_rep_15,contact_day_2_repeat,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[repeat_contact_d2_rep_15]=""1""",y,,,,,
